,country,GA_FA,revision_id,article_quality,page,Population mid-2018 (millions),frequency,articles-per-population-percentage,high-quality-percentage
0,Afghanistan,12,670462475,Stub,Murad Quenili,36.5,320,0.0008767123287671233,3.75
1,Afghanistan,12,671455150,Stub,Badar,36.5,320,0.0008767123287671233,3.75
2,Afghanistan,12,671473289,Stub,Mohammed Qalamuddin,36.5,320,0.0008767123287671233,3.75
3,Afghanistan,12,703507854,Stub,Faizanullah Faizan,36.5,320,0.0008767123287671233,3.75
4,Afghanistan,12,706112927,Stub,Mohammad Fahim Dashty,36.5,320,0.0008767123287671233,3.75
5,Afghanistan,12,708476182,Stub,Aamir Latif,36.5,320,0.0008767123287671233,3.75
6,Afghanistan,12,709439380,Stub,Mohammed Islam Mohammadi,36.5,320,0.0008767123287671233,3.75
7,Afghanistan,12,710004254,Start,Musa Hotak,36.5,320,0.0008767123287671233,3.75
8,Afghanistan,12,710066519,Start,Naqibullah Orya Khail,36.5,320,0.0008767123287671233,3.75
9,Afghanistan,12,710715953,Stub,Hazrat-U-Din,36.5,320,0.0008767123287671233,3.75
10,Afghanistan,12,712832121,Start,Qari Ziauddin,36.5,320,0.0008767123287671233,3.75
11,Afghanistan,12,713113246,Stub,Mohammad Siddiq Chakari,36.5,320,0.0008767123287671233,3.75
12,Afghanistan,12,715179680,Stub,Sayed Abdul Karim Hashimi,36.5,320,0.0008767123287671233,3.75
13,Afghanistan,12,715926834,Stub,Mohammad Nabi Safi,36.5,320,0.0008767123287671233,3.75
14,Afghanistan,12,715926905,Stub,Shah Mahmood Safi,36.5,320,0.0008767123287671233,3.75
15,Afghanistan,12,716814855,Stub,Zefnoon Safai,36.5,320,0.0008767123287671233,3.75
16,Afghanistan,12,717252806,Stub,Abdul Zahir (Konar Education Minister),36.5,320,0.0008767123287671233,3.75
17,Afghanistan,12,717365624,Start,Mohammad Daud Miraki,36.5,320,0.0008767123287671233,3.75
18,Afghanistan,12,717366122,Stub,Osman Osmani,36.5,320,0.0008767123287671233,3.75
19,Afghanistan,12,717624594,Stub,Shahnaz Himmeti,36.5,320,0.0008767123287671233,3.75
20,Afghanistan,12,717733887,Stub,Zahera Ahmadyar Mawlayee,36.5,320,0.0008767123287671233,3.75
21,Afghanistan,12,717743144,Stub,Malali Ishaqzai,36.5,320,0.0008767123287671233,3.75
22,Afghanistan,12,717921766,Start,Mohammad Hashem Taufiqui,36.5,320,0.0008767123287671233,3.75
23,Afghanistan,12,718002836,Stub,Khalid Farooqi,36.5,320,0.0008767123287671233,3.75
24,Afghanistan,12,718019701,Stub,Muhammad Hashim Esmatullahi,36.5,320,0.0008767123287671233,3.75
25,Afghanistan,12,718052714,Stub,Khairullah Anosh,36.5,320,0.0008767123287671233,3.75
26,Afghanistan,12,718250607,Stub,Abdul Baqi Turkistani,36.5,320,0.0008767123287671233,3.75
27,Afghanistan,12,718362010,Start,Zabih-U-llah Ghazi Noristani,36.5,320,0.0008767123287671233,3.75
28,Afghanistan,12,718362588,Stub,Hasan Ali Sultani,36.5,320,0.0008767123287671233,3.75
29,Afghanistan,12,718364221,Stub,Ghulam Faroq Nijrabi,36.5,320,0.0008767123287671233,3.75
30,Afghanistan,12,718382045,Stub,Sahib Rahman,36.5,320,0.0008767123287671233,3.75
31,Afghanistan,12,718383950,Stub,Gul Haar Jalal,36.5,320,0.0008767123287671233,3.75
32,Afghanistan,12,718384584,Start,Sahira Sharif,36.5,320,0.0008767123287671233,3.75
33,Afghanistan,12,718384771,Stub,Toorpekai,36.5,320,0.0008767123287671233,3.75
34,Afghanistan,12,718882885,Stub,Baktash Siawash,36.5,320,0.0008767123287671233,3.75
35,Afghanistan,12,718933282,Stub,Mohammed Tahir Omar,36.5,320,0.0008767123287671233,3.75
36,Afghanistan,12,720125764,Stub,Abdul Malik Hamwar,36.5,320,0.0008767123287671233,3.75
37,Afghanistan,12,720408323,C,Syed Gulam Farooq Mirranay,36.5,320,0.0008767123287671233,3.75
38,Afghanistan,12,720586068,Stub,Abdul Bagi Baryal,36.5,320,0.0008767123287671233,3.75
39,Afghanistan,12,721524808,Start,Nasruddin Mohseni,36.5,320,0.0008767123287671233,3.75
40,Afghanistan,12,721999414,Start,Ahmad Khan Samangani,36.5,320,0.0008767123287671233,3.75
41,Afghanistan,12,722198152,Stub,Awtar Singh,36.5,320,0.0008767123287671233,3.75
42,Afghanistan,12,722893996,Start,Alhaj Mutalib Baig,36.5,320,0.0008767123287671233,3.75
43,Afghanistan,12,723481980,Stub,Al-Haj Suliman Yari,36.5,320,0.0008767123287671233,3.75
44,Afghanistan,12,723709911,Stub,Mohammad Ghous Bashiri,36.5,320,0.0008767123287671233,3.75
45,Afghanistan,12,724355183,Start,Zalmai Mojadidi,36.5,320,0.0008767123287671233,3.75
46,Afghanistan,12,726625715,Start,Sayed Jalal,36.5,320,0.0008767123287671233,3.75
47,Afghanistan,12,727899635,Stub,List of rulers of Afghanistan,36.5,320,0.0008767123287671233,3.75
48,Afghanistan,12,728644481,Stub,Fariba Ahmadi Kakar,36.5,320,0.0008767123287671233,3.75
49,Afghanistan,12,729099380,Stub,Sultan Jan,36.5,320,0.0008767123287671233,3.75
50,Afghanistan,12,729386082,Start,Majah Ha Adrif,36.5,320,0.0008767123287671233,3.75
51,Afghanistan,12,730949872,Stub,Mohammad Gul (Helmand Council),36.5,320,0.0008767123287671233,3.75
52,Afghanistan,12,731353196,Stub,Ahmad Shah Khan Asakzai,36.5,320,0.0008767123287671233,3.75
53,Afghanistan,12,731397902,Start,Kashmir Khan,36.5,320,0.0008767123287671233,3.75
54,Afghanistan,12,731512019,B,Haroon al-Afghani,36.5,320,0.0008767123287671233,3.75
55,Afghanistan,12,737761144,Stub,Nematullah Shahrani,36.5,320,0.0008767123287671233,3.75
56,Afghanistan,12,739136660,Stub,Abdul Hadi Arghandiwal,36.5,320,0.0008767123287671233,3.75
57,Afghanistan,12,739695950,Stub,Abdul Hafiz Mansoor,36.5,320,0.0008767123287671233,3.75
58,Afghanistan,12,741518574,Start,Mohammad Daud Sultanzoy,36.5,320,0.0008767123287671233,3.75
59,Afghanistan,12,742229423,Stub,Abdul Qayum Wardak,36.5,320,0.0008767123287671233,3.75
60,Afghanistan,12,742237237,Start,Abdullah Khan Tarzi,36.5,320,0.0008767123287671233,3.75
61,Afghanistan,12,745190115,Stub,Mohammad Aman,36.5,320,0.0008767123287671233,3.75
62,Afghanistan,12,746242701,Start,Qutbuddin Hilal,36.5,320,0.0008767123287671233,3.75
63,Afghanistan,12,747783201,Stub,Zabihullah (Balkh),36.5,320,0.0008767123287671233,3.75
64,Afghanistan,12,748084336,Start,Razaq Mamoon,36.5,320,0.0008767123287671233,3.75
65,Afghanistan,12,748224926,Stub,Sayed Nasim Mihanparast,36.5,320,0.0008767123287671233,3.75
66,Afghanistan,12,748594441,Stub,Said Mohammad Ali Jawid,36.5,320,0.0008767123287671233,3.75
67,Afghanistan,12,748841875,Start,Azizullah Lodin,36.5,320,0.0008767123287671233,3.75
68,Afghanistan,12,749355761,Stub,Mirwais Sadiq,36.5,320,0.0008767123287671233,3.75
69,Afghanistan,12,749593657,Stub,List of governors of Jowzjan,36.5,320,0.0008767123287671233,3.75
70,Afghanistan,12,749952986,Stub,Ghulam Dastagir Azad,36.5,320,0.0008767123287671233,3.75
71,Afghanistan,12,750347412,Start,Mohammad Omar (Afghan governor),36.5,320,0.0008767123287671233,3.75
72,Afghanistan,12,750535372,Stub,Atiqullah Ludin,36.5,320,0.0008767123287671233,3.75
73,Afghanistan,12,750544170,Stub,Hamidullah Qalandarzai,36.5,320,0.0008767123287671233,3.75
74,Afghanistan,12,750549549,Stub,Mohammad Iqbal Azizi,36.5,320,0.0008767123287671233,3.75
75,Afghanistan,12,750561890,Start,Hakim Taniwal,36.5,320,0.0008767123287671233,3.75
76,Afghanistan,12,751150581,Stub,Abdul Ghani Ghani,36.5,320,0.0008767123287671233,3.75
77,Afghanistan,12,751299201,Start,Amin Karim,36.5,320,0.0008767123287671233,3.75
78,Afghanistan,12,751959879,Stub,Pacha Gul Wafadar,36.5,320,0.0008767123287671233,3.75
79,Afghanistan,12,752026068,Stub,Ghulam Qawis Abubaker,36.5,320,0.0008767123287671233,3.75
80,Afghanistan,12,752332885,Stub,Sayed Ahmad Haqbeen,36.5,320,0.0008767123287671233,3.75
81,Afghanistan,12,753124044,Stub,Abdul Sattar Murad,36.5,320,0.0008767123287671233,3.75
82,Afghanistan,12,754262111,Stub,Hanifa Safi,36.5,320,0.0008767123287671233,3.75
83,Afghanistan,12,755110536,Stub,Sardar Mohammad Nadir Naeem,36.5,320,0.0008767123287671233,3.75
84,Afghanistan,12,755254358,Stub,Burhanullah Shinwari,36.5,320,0.0008767123287671233,3.75
85,Afghanistan,12,755339031,C,Nasrullah Baryalai Arsalai,36.5,320,0.0008767123287671233,3.75
86,Afghanistan,12,755351182,Stub,Rafiullah Bidar,36.5,320,0.0008767123287671233,3.75
87,Afghanistan,12,756609530,Start,Sayed Mohammad Gulabzoy,36.5,320,0.0008767123287671233,3.75
88,Afghanistan,12,757538650,Stub,Habibullah Qaderi,36.5,320,0.0008767123287671233,3.75
89,Afghanistan,12,757800105,Start,Lutfullah Mashal,36.5,320,0.0008767123287671233,3.75
90,Afghanistan,12,759405630,Start,Massouda Jalal,36.5,320,0.0008767123287671233,3.75
91,Afghanistan,12,759449241,Stub,Davood Moradian,36.5,320,0.0008767123287671233,3.75
92,Afghanistan,12,759489824,Stub,Ghulam Mohammad Rigi,36.5,320,0.0008767123287671233,3.75
93,Afghanistan,12,759778743,Start,Shafiqa Habibi,36.5,320,0.0008767123287671233,3.75
94,Afghanistan,12,761685512,Stub,Ghulam Mohammad Ghobar,36.5,320,0.0008767123287671233,3.75
95,Afghanistan,12,762527227,Stub,List of ambassadors of Afghanistan,36.5,320,0.0008767123287671233,3.75
96,Afghanistan,12,763083773,Stub,Sayed Mustafa Kazemi,36.5,320,0.0008767123287671233,3.75
97,Afghanistan,12,763438364,Stub,Tayyab Agha,36.5,320,0.0008767123287671233,3.75
98,Afghanistan,12,764743041,Stub,Abdul Wahed Sorabi,36.5,320,0.0008767123287671233,3.75
99,Afghanistan,12,765965877,Stub,Mohammad Ghous,36.5,320,0.0008767123287671233,3.75
100,Afghanistan,12,766167980,Stub,Ahmad Wali Massoud,36.5,320,0.0008767123287671233,3.75
101,Afghanistan,12,766272734,Stub,Jan Baz,36.5,320,0.0008767123287671233,3.75
102,Afghanistan,12,766309040,Start,Mohammad Nasim Faqiri,36.5,320,0.0008767123287671233,3.75
103,Afghanistan,12,767150678,Start,Cheragh Ali Cheragh,36.5,320,0.0008767123287671233,3.75
104,Afghanistan,12,767427725,Stub,Saber Sangar,36.5,320,0.0008767123287671233,3.75
105,Afghanistan,12,768137506,C,Ravan A. G. Farhâdi,36.5,320,0.0008767123287671233,3.75
106,Afghanistan,12,769025347,C,Faizullah Kakar,36.5,320,0.0008767123287671233,3.75
107,Afghanistan,12,769061187,C,Faramarz Tamanna,36.5,320,0.0008767123287671233,3.75
108,Afghanistan,12,770239277,Stub,Sohaila Sharifi,36.5,320,0.0008767123287671233,3.75
109,Afghanistan,12,770448889,Stub,Enayatullah Nazari,36.5,320,0.0008767123287671233,3.75
110,Afghanistan,12,770905450,Start,Mohammad Ishaq Aloko,36.5,320,0.0008767123287671233,3.75
111,Afghanistan,12,771055245,Stub,Mohammad Hashim Khan,36.5,320,0.0008767123287671233,3.75
112,Afghanistan,12,772765313,Stub,Sultan Hamid Sultan,36.5,320,0.0008767123287671233,3.75
113,Afghanistan,12,772804054,Stub,Hajji Muhammad Arif Zarif,36.5,320,0.0008767123287671233,3.75
114,Afghanistan,12,774179658,Stub,Sayed Zafar Hashemi,36.5,320,0.0008767123287671233,3.75
115,Afghanistan,12,774499188,Start,Anarkali Kaur Honaryar,36.5,320,0.0008767123287671233,3.75
116,Afghanistan,12,775523762,Stub,Ismail Qasim Yar,36.5,320,0.0008767123287671233,3.75
117,Afghanistan,12,775966269,C,Sima Samar,36.5,320,0.0008767123287671233,3.75
118,Afghanistan,12,776933374,Stub,Mohammed Rafie,36.5,320,0.0008767123287671233,3.75
119,Afghanistan,12,777525023,Stub,Habibullah Jan,36.5,320,0.0008767123287671233,3.75
120,Afghanistan,12,777625464,Start,Mohammad Sarwar Ahmadzai,36.5,320,0.0008767123287671233,3.75
121,Afghanistan,12,777874646,Stub,Abdul Malik Anwar,36.5,320,0.0008767123287671233,3.75
122,Afghanistan,12,778690357,Start,Husn Banu Ghazanfar,36.5,320,0.0008767123287671233,3.75
123,Afghanistan,12,779084312,C,Nur ul-Haq Ulumi,36.5,320,0.0008767123287671233,3.75
124,Afghanistan,12,779389407,Stub,Roqia Abubakr,36.5,320,0.0008767123287671233,3.75
125,Afghanistan,12,779389809,Stub,Rahila Bibi Kobra Alamshahi,36.5,320,0.0008767123287671233,3.75
126,Afghanistan,12,779839643,Stub,Khadija Ahrari,36.5,320,0.0008767123287671233,3.75
127,Afghanistan,12,780326218,Stub,Sharif Fayez,36.5,320,0.0008767123287671233,3.75
128,Afghanistan,12,780468605,Stub,Mohammad Asim Asim,36.5,320,0.0008767123287671233,3.75
129,Afghanistan,12,780566383,Stub,Mohibullah Samim,36.5,320,0.0008767123287671233,3.75
130,Afghanistan,12,780765630,Stub,Musa Khan Ahmadzai,36.5,320,0.0008767123287671233,3.75
131,Afghanistan,12,780939825,Stub,Mohammad Tamim Nuristani,36.5,320,0.0008767123287671233,3.75
132,Afghanistan,12,780939867,Start,Jamaluddin Badr,36.5,320,0.0008767123287671233,3.75
133,Afghanistan,12,780940202,Start,Mohammed Hashim Watanwal,36.5,320,0.0008767123287671233,3.75
134,Afghanistan,12,781002628,Start,Munshi Abdul Majid,36.5,320,0.0008767123287671233,3.75
135,Afghanistan,12,781002810,Stub,Mohammad Hashim Zare,36.5,320,0.0008767123287671233,3.75
136,Afghanistan,12,781002975,Stub,Roohul Amin,36.5,320,0.0008767123287671233,3.75
137,Afghanistan,12,781167880,Stub,Mohammad Akbar Barakzai,36.5,320,0.0008767123287671233,3.75
138,Afghanistan,12,781169029,Stub,Mohammad Bashir Qant Chah Abi,36.5,320,0.0008767123287671233,3.75
139,Afghanistan,12,781990193,Stub,Abdul Hai Neamati,36.5,320,0.0008767123287671233,3.75
140,Afghanistan,12,781990452,Stub,Abdul Qadir Nuristani,36.5,320,0.0008767123287671233,3.75
141,Afghanistan,12,782271549,Stub,Baz Mohammad Ahmadi,36.5,320,0.0008767123287671233,3.75
142,Afghanistan,12,782271562,Stub,Ibrahim Malikzada,36.5,320,0.0008767123287671233,3.75
143,Afghanistan,12,782271570,Stub,Sayyed Mohammad Eqbal Munib,36.5,320,0.0008767123287671233,3.75
144,Afghanistan,12,782663330,Start,Bashir Baghlani,36.5,320,0.0008767123287671233,3.75
145,Afghanistan,12,782845346,C,Fazal Haq Mujahid,36.5,320,0.0008767123287671233,3.75
146,Afghanistan,12,782848556,C,Atiqullah Atifmal,36.5,320,0.0008767123287671233,3.75
147,Afghanistan,12,782978230,Stub,Mahboba Hoqomal,36.5,320,0.0008767123287671233,3.75
148,Afghanistan,12,783321773,Stub,Mohammad Shakir Kargar,36.5,320,0.0008767123287671233,3.75
149,Afghanistan,12,783717361,Stub,Mahbob-U-lah Koshani,36.5,320,0.0008767123287671233,3.75
150,Afghanistan,12,783898506,Stub,Mohammad Khan (athlete),36.5,320,0.0008767123287671233,3.75
151,Afghanistan,12,785150345,Start,Samoud Khan,36.5,320,0.0008767123287671233,3.75
152,Afghanistan,12,785284556,Start,Salamat Azimi,36.5,320,0.0008767123287671233,3.75
153,Afghanistan,12,785284614,Start,Delbar Nazari,36.5,320,0.0008767123287671233,3.75
154,Afghanistan,12,785352771,Stub,Hamidullah Niyazmand,36.5,320,0.0008767123287671233,3.75
155,Afghanistan,12,786830658,Stub,Mohammed Alim Razm,36.5,320,0.0008767123287671233,3.75
156,Afghanistan,12,787258680,Stub,Masuma Esmati-Wardak,36.5,320,0.0008767123287671233,3.75
157,Afghanistan,12,787347770,C,Maryam Durani,36.5,320,0.0008767123287671233,3.75
158,Afghanistan,12,787348558,Stub,Mullah Ghani,36.5,320,0.0008767123287671233,3.75
159,Afghanistan,12,787352628,Start,Nasrin Oryakhil,36.5,320,0.0008767123287671233,3.75
160,Afghanistan,12,787396242,Stub,Abdul Ghafor Zori,36.5,320,0.0008767123287671233,3.75
161,Afghanistan,12,787398553,Stub,Abdul Latif Ibrahimi,36.5,320,0.0008767123287671233,3.75
162,Afghanistan,12,787399854,Stub,Abdul Qadir Alam,36.5,320,0.0008767123287671233,3.75
163,Afghanistan,12,787399889,Stub,Abdul Qadir Imami Ghori,36.5,320,0.0008767123287671233,3.75
164,Afghanistan,12,787400308,Start,Abdul Rahim Ayoubi,36.5,320,0.0008767123287671233,3.75
165,Afghanistan,12,787408432,Stub,Abdur Razzaq (Taliban Interior Minister),36.5,320,0.0008767123287671233,3.75
166,Afghanistan,12,787914131,Start,Abdul Rahman Pazhwak,36.5,320,0.0008767123287671233,3.75
167,Afghanistan,12,787914141,Start,Abdul Samad Khaksar,36.5,320,0.0008767123287671233,3.75
168,Afghanistan,12,788030456,Stub,Rouh Gul Khairzad,36.5,320,0.0008767123287671233,3.75
169,Afghanistan,12,788520176,C,Suhaila Seddiqi,36.5,320,0.0008767123287671233,3.75
170,Afghanistan,12,788591677,C,Farida Momand,36.5,320,0.0008767123287671233,3.75
171,Afghanistan,12,788684997,C,Suraya Dalil,36.5,320,0.0008767123287671233,3.75
172,Afghanistan,12,788851566,Stub,Azim Khan,36.5,320,0.0008767123287671233,3.75
173,Afghanistan,12,788882411,Start,Amir Muhammad Akhundzada,36.5,320,0.0008767123287671233,3.75
174,Afghanistan,12,789234893,Stub,Ibrahim Spinzada,36.5,320,0.0008767123287671233,3.75
175,Afghanistan,12,789359940,C,Mohammed Zaman,36.5,320,0.0008767123287671233,3.75
176,Afghanistan,12,789787876,Start,Arsala Rahmani Daulat,36.5,320,0.0008767123287671233,3.75
177,Afghanistan,12,789969188,Stub,Assadullah Wafa,36.5,320,0.0008767123287671233,3.75
178,Afghanistan,12,790315322,Start,Aziza Ahmadyar,36.5,320,0.0008767123287671233,3.75
179,Afghanistan,12,790711812,Start,Abdul Ahad Wardak,36.5,320,0.0008767123287671233,3.75
180,Afghanistan,12,791077429,Stub,Naeem Baloch,36.5,320,0.0008767123287671233,3.75
181,Afghanistan,12,791219668,Start,Abdul Ghafar Lakanwal,36.5,320,0.0008767123287671233,3.75
182,Afghanistan,12,791329143,C,Sayed Yousuf Mirranay,36.5,320,0.0008767123287671233,3.75
183,Afghanistan,12,791417213,Start,Habiba Sarobi,36.5,320,0.0008767123287671233,3.75
184,Afghanistan,12,792790722,Start,Sayed Jalal Karim,36.5,320,0.0008767123287671233,3.75
185,Afghanistan,12,792853350,Start,Shakiba Hashemi,36.5,320,0.0008767123287671233,3.75
186,Afghanistan,12,793152042,Stub,Mohammad Rauf Mehdi,36.5,320,0.0008767123287671233,3.75
187,Afghanistan,12,793429853,Start,Wahid Omar,36.5,320,0.0008767123287671233,3.75
188,Afghanistan,12,793950185,C,Shinkai Karokhail,36.5,320,0.0008767123287671233,3.75
189,Afghanistan,12,794028379,Start,Hashmat Ghani Ahmadzai,36.5,320,0.0008767123287671233,3.75
190,Afghanistan,12,794072920,Stub,Abdul Sabur Farid Kohistani,36.5,320,0.0008767123287671233,3.75
191,Afghanistan,12,794478106,GA,Jan Mohammad Khan,36.5,320,0.0008767123287671233,3.75
192,Afghanistan,12,795022269,Stub,Abdul Karim Mustaghni,36.5,320,0.0008767123287671233,3.75
193,Afghanistan,12,795223533,Start,Nilofar Sakhi,36.5,320,0.0008767123287671233,3.75
194,Afghanistan,12,795268854,Stub,Ali Shah Durrani,36.5,320,0.0008767123287671233,3.75
195,Afghanistan,12,795269744,Stub,Ayub Shah Durrani,36.5,320,0.0008767123287671233,3.75
196,Afghanistan,12,795274242,C,Mohammed Nadir Shah,36.5,320,0.0008767123287671233,3.75
197,Afghanistan,12,795275279,Start,Mohammad Yaqub Khan,36.5,320,0.0008767123287671233,3.75
198,Afghanistan,12,795276004,Start,Ghulam Muhammad Tarzi,36.5,320,0.0008767123287671233,3.75
199,Afghanistan,12,795276382,Start,Wazir Akbar Khan,36.5,320,0.0008767123287671233,3.75
200,Afghanistan,12,795276435,Stub,Shuja Shah Durrani,36.5,320,0.0008767123287671233,3.75
201,Afghanistan,12,795276759,C,Abdul Qadir (Afghan communist),36.5,320,0.0008767123287671233,3.75
202,Afghanistan,12,795278213,Stub,Haji Mohammad Chamkani,36.5,320,0.0008767123287671233,3.75
203,Afghanistan,12,795279646,C,"List of candidates in the Afghan presidential election, 2009",36.5,320,0.0008767123287671233,3.75
204,Afghanistan,12,795280443,C,Rangin Dadfar Spanta,36.5,320,0.0008767123287671233,3.75
205,Afghanistan,12,795280683,Start,Zarar Ahmad Osmani,36.5,320,0.0008767123287671233,3.75
206,Afghanistan,12,795282116,C,Mirwais Yasini,36.5,320,0.0008767123287671233,3.75
207,Afghanistan,12,795282600,Stub,Habibullah Karzai,36.5,320,0.0008767123287671233,3.75
208,Afghanistan,12,795282782,Start,Azizullah Karzai,36.5,320,0.0008767123287671233,3.75
209,Afghanistan,12,795283296,Start,Motasim Billah Mazhabi,36.5,320,0.0008767123287671233,3.75
210,Afghanistan,12,795283501,Stub,Wazir Arsala Khan,36.5,320,0.0008767123287671233,3.75
211,Afghanistan,12,795285982,C,Sibghatullah Mojaddedi,36.5,320,0.0008767123287671233,3.75
212,Afghanistan,12,795287565,Start,Musahiban,36.5,320,0.0008767123287671233,3.75
213,Afghanistan,12,795483379,Stub,Ezatullah (Nangarhar),36.5,320,0.0008767123287671233,3.75
214,Afghanistan,12,795654542,Start,Qurban Ali Oruzgani,36.5,320,0.0008767123287671233,3.75
215,Afghanistan,12,795919634,C,Shukria Barakzai,36.5,320,0.0008767123287671233,3.75
216,Afghanistan,12,796060040,Stub,Abdul Majid Samim,36.5,320,0.0008767123287671233,3.75
217,Afghanistan,12,796493730,GA,Shah Shujah Durrani,36.5,320,0.0008767123287671233,3.75
218,Afghanistan,12,796569814,C,Abdul Haq (Afghan leader),36.5,320,0.0008767123287671233,3.75
219,Afghanistan,12,796615232,Start,Bashir Ahmad Bezan,36.5,320,0.0008767123287671233,3.75
220,Afghanistan,12,796676748,Start,Muhammad Yunus Nawandish,36.5,320,0.0008767123287671233,3.75
221,Afghanistan,12,796885432,Stub,Abdul Rahman (Afghan minister),36.5,320,0.0008767123287671233,3.75
222,Afghanistan,12,796885985,C,Abdullah Wardak,36.5,320,0.0008767123287671233,3.75
223,Afghanistan,12,796975361,Start,Abdul Ahad Karzai,36.5,320,0.0008767123287671233,3.75
224,Afghanistan,12,797002885,B,Arsala Jamal,36.5,320,0.0008767123287671233,3.75
225,Afghanistan,12,797048177,C,Amanullah Khan,36.5,320,0.0008767123287671233,3.75
226,Afghanistan,12,797072546,Start,Zeenat Karzai,36.5,320,0.0008767123287671233,3.75
227,Afghanistan,12,797074740,C,Ahmed Wali Karzai,36.5,320,0.0008767123287671233,3.75
228,Afghanistan,12,797089185,C,Burhanuddin Rabbani,36.5,320,0.0008767123287671233,3.75
229,Afghanistan,12,797153892,Stub,Inayatullah Khan,36.5,320,0.0008767123287671233,3.75
230,Afghanistan,12,797155187,GA,Nasrullah Khan (Afghanistan),36.5,320,0.0008767123287671233,3.75
231,Afghanistan,12,797156968,Stub,Mohammad Azam Khan,36.5,320,0.0008767123287671233,3.75
232,Afghanistan,12,797157277,Stub,Mohammad Afzal Khan,36.5,320,0.0008767123287671233,3.75
233,Afghanistan,12,797216331,Start,Ahmad Behzad,36.5,320,0.0008767123287671233,3.75
234,Afghanistan,12,797343976,Stub,Delbar Jan Arman,36.5,320,0.0008767123287671233,3.75
235,Afghanistan,12,797570527,Stub,Sayed Anwar Rahmati,36.5,320,0.0008767123287671233,3.75
236,Afghanistan,12,797673897,Start,Hekmat Karzai,36.5,320,0.0008767123287671233,3.75
237,Afghanistan,12,797728695,Start,Noorulah Delwari,36.5,320,0.0008767123287671233,3.75
238,Afghanistan,12,798059926,C,Abdul Qadir (Afghan leader),36.5,320,0.0008767123287671233,3.75
239,Afghanistan,12,798792201,Start,List of governors of Baghlan,36.5,320,0.0008767123287671233,3.75
240,Afghanistan,12,798873145,Stub,Malalai Shinwari,36.5,320,0.0008767123287671233,3.75
241,Afghanistan,12,798923237,C,Massoud Khalili,36.5,320,0.0008767123287671233,3.75
242,Afghanistan,12,799013122,C,Mirza Muhammad Ismail,36.5,320,0.0008767123287671233,3.75
243,Afghanistan,12,799023086,C,Mohammad Shafiq Hamdam,36.5,320,0.0008767123287671233,3.75
244,Afghanistan,12,799023841,Stub,Mohammed Zia Salehi,36.5,320,0.0008767123287671233,3.75
245,Afghanistan,12,799046878,Stub,Muhammad Ali Jalali,36.5,320,0.0008767123287671233,3.75
246,Afghanistan,12,799046977,Start,Muhammad Arif Sarwari,36.5,320,0.0008767123287671233,3.75
247,Afghanistan,12,799215547,FA,Amrullah Saleh,36.5,320,0.0008767123287671233,3.75
248,Afghanistan,12,799467889,Stub,Mohammad Nazar Faqiri (Baghlan 1955),36.5,320,0.0008767123287671233,3.75
249,Afghanistan,12,799980094,C,Robina Muqimyar,36.5,320,0.0008767123287671233,3.75
250,Afghanistan,12,800049528,C,Said Tayeb Jawad,36.5,320,0.0008767123287671233,3.75
251,Afghanistan,12,800053449,Start,Salahuddin Rabbani,36.5,320,0.0008767123287671233,3.75
252,Afghanistan,12,800127655,Stub,Shah Waliullah Adeeb,36.5,320,0.0008767123287671233,3.75
253,Afghanistan,12,800128121,Start,Shahla Ata,36.5,320,0.0008767123287671233,3.75
254,Afghanistan,12,800129584,Stub,Shakila (Kabul),36.5,320,0.0008767123287671233,3.75
255,Afghanistan,12,800175991,Start,Sitara Achakzai,36.5,320,0.0008767123287671233,3.75
256,Afghanistan,12,800356996,Start,First Lady of Afghanistan,36.5,320,0.0008767123287671233,3.75
257,Afghanistan,12,800455166,Stub,Abdul Jabbar Taqwa,36.5,320,0.0008767123287671233,3.75
258,Afghanistan,12,800555876,Start,Humayun Azizi,36.5,320,0.0008767123287671233,3.75
259,Afghanistan,12,801207685,Start,Abdullah Habibi,36.5,320,0.0008767123287671233,3.75
260,Afghanistan,12,801335999,Start,Ziauddin (Afghan militia leader),36.5,320,0.0008767123287671233,3.75
261,Afghanistan,12,801436815,Start,Sher Ali Khan,36.5,320,0.0008767123287671233,3.75
262,Afghanistan,12,801469201,B,Sharif Ghalib,36.5,320,0.0008767123287671233,3.75
263,Afghanistan,12,801589377,Stub,Aimal Faizi,36.5,320,0.0008767123287671233,3.75
264,Afghanistan,12,801632337,C,Soraya Tarzi,36.5,320,0.0008767123287671233,3.75
265,Afghanistan,12,801927558,Stub,Ali Mohammad,36.5,320,0.0008767123287671233,3.75
266,Afghanistan,12,801936110,Stub,Abdul Jabbar Naeemi,36.5,320,0.0008767123287671233,3.75
267,Afghanistan,12,801936928,Start,Rahmatullah Nabil,36.5,320,0.0008767123287671233,3.75
268,Afghanistan,12,802280148,Stub,Shah Gul Rezai,36.5,320,0.0008767123287671233,3.75
269,Afghanistan,12,802286319,Start,Seema Jowenda,36.5,320,0.0008767123287671233,3.75
270,Afghanistan,12,802320704,Start,Mohammad Mohaqiq,36.5,320,0.0008767123287671233,3.75
271,Afghanistan,12,802320895,C,Ramazan Bashardost,36.5,320,0.0008767123287671233,3.75
272,Afghanistan,12,802550537,Start,Mir Akbar Khyber,36.5,320,0.0008767123287671233,3.75
273,Afghanistan,12,802551672,C,Anahita Ratebzad,36.5,320,0.0008767123287671233,3.75
